HSI 恒生指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/09/03	23611.02	23915.05	23611.02	23904.09	0	0.00
2007/09/04	23937.46	24127.16	23855.11	23886.07	0	0.00
2007/09/05	24196.59	24283.15	23839.00	24069.17	0	0.00
2007/09/06	23857.97	24089.06	23853.05	24050.40	0	0.00
2007/09/07	24036.36	24135.24	23881.72	23982.61	0	0.00
2007/09/10	23584.07	24123.66	23578.11	23999.70	0	0.00
2007/09/11	24000.18	24157.36	23753.35	23952.24	0	0.00
2007/09/12	24195.38	24329.20	24088.11	24310.14	0	0.00
2007/09/13	24475.97	24552.18	24216.41	24537.02	0	0.00
2007/09/14	24750.04	24978.61	24715.74	24898.11	0	0.00
2007/09/17	24977.42	24977.42	24544.74	24599.34	0	0.00
2007/09/18	24503.83	24599.31	24368.65	24576.85	0	0.00
2007/09/19	25511.36	25648.44	25286.92	25554.64	0	0.00
2007/09/20	25638.31	25773.60	25571.15	25701.13	0	0.00
2007/09/21	25659.96	25893.20	25554.54	25843.78	0	0.00
2007/09/24	26002.10	26635.27	25994.78	26551.94	0	0.00
2007/09/25	26388.86	26667.24	26236.73	26430.29	0	0.00
2007/09/27	26664.79	27166.01	26664.79	27065.15	0	0.00
2007/09/28	27126.13	27254.97	26899.48	27142.47	0	0.00
2007/10/02	27816.92	28256.80	27795.55	28199.75	0	0.00
2007/10/03	28163.27	28871.04	27245.48	27479.94	0	0.00
2007/10/04	27108.27	27423.11	26746.63	26973.98	0	0.00
2007/10/05	27329.65	27843.59	27203.91	27831.52	0	0.00
2007/10/08	28233.30	28482.42	27651.21	27770.29	0	0.00
2007/10/09	27817.11	28238.31	27491.93	28228.04	0	0.00
2007/10/10	28654.95	28771.47	28292.90	28569.33	0	0.00
2007/10/11	28689.73	29133.76	28609.68	29133.02	0	0.00
2007/10/12	28773.06	28935.67	28368.69	28838.37	0	0.00
2007/10/15	29147.84	29561.98	28767.41	29540.78	0	0.00
2007/10/16	29238.29	29920.25	28884.23	28954.55	0	0.00
2007/10/17	28674.27	29310.78	28484.20	29298.71	0	0.00
2007/10/18	30013.48	30025.07	29265.47	29465.05	0	0.00
2007/10/22	28336.97	28760.55	28336.97	28373.63	0	0.00
2007/10/23	28726.96	29418.99	28718.55	29376.86	0	0.00
2007/10/24	29810.38	29997.01	29290.72	29333.53	0	0.00
2007/10/25	29660.47	29943.39	29314.22	29854.49	0	0.00
2007/10/26	30215.20	30562.63	29932.64	30405.22	0	0.00
2007/10/29	30986.22	31604.50	30986.22	31586.90	0	0.00
2007/10/30	31361.91	31958.41	31361.91	31638.22	0	0.00
2007/10/31	31530.96	31556.05	31159.54	31352.58	0	0.00
2007/11/01	31783.47	31897.49	31342.05	31492.88	0	0.00
2007/11/02	30580.07	30922.31	30366.69	30468.34	0	0.00
2007/11/05	30165.78	30356.79	28920.30	28942.32	0	0.00
2007/11/06	29220.04	29470.97	28479.03	29438.13	0	0.00
2007/11/07	30054.08	30195.64	29596.18	29708.93	0	0.00
2007/11/08	28758.72	29009.37	28545.70	28760.22	0	0.00
2007/11/09	28510.53	29249.95	28408.53	28783.41	0	0.00
2007/11/12	28061.45	28071.53	27468.00	27665.73	0	0.00
2007/11/13	27561.57	28010.97	26952.94	27803.35	0	0.00
2007/11/14	28787.40	29175.26	28622.97	29166.01	0	0.00
2007/11/15	29078.21	29249.99	28730.30	28751.21	0	0.00
2007/11/16	28037.18	28120.42	27496.15	27614.43	0	0.00
2007/11/19	27628.97	27801.53	27300.29	27460.17	0	0.00
2007/11/20	26583.64	27851.31	26404.28	27771.21	0	0.00
2007/11/21	27277.72	27303.91	26500.54	26618.19	0	0.00
2007/11/22	26318.21	27003.87	25861.73	26004.92	0	0.00
2007/11/23	26484.74	26723.34	26305.45	26541.09	0	0.00
2007/11/26	27398.53	27643.56	27311.88	27626.62	0	0.00
2007/11/27	26704.76	27552.34	26637.61	27210.21	0	0.00
2007/11/28	27315.93	27455.81	27028.67	27371.24	0	0.00
2007/11/29	28337.11	28667.27	28114.68	28482.54	0	0.00
2007/11/30	28604.68	28792.30	28436.71	28643.61	0	0.00
2007/12/03	28825.03	29119.73	28658.42	28658.42	0	0.00
2007/12/04	28544.18	29020.79	28544.18	28879.59	0	0.00
2007/12/05	28942.23	29411.39	28712.47	29345.45	0	0.00
2007/12/06	29769.15	29889.35	29530.32	29558.92	0	0.00
2007/12/07	29890.64	29962.93	28838.94	28842.47	0	0.00
2007/12/10	29017.70	29137.89	28445.67	28501.10	0	0.00
2007/12/11	28947.70	29235.21	28726.13	29226.84	0	0.00
2007/12/12	28611.64	28777.28	28343.21	28521.06	0	0.00
2007/12/13	28518.78	28604.17	27606.23	27744.45	0	0.00
2007/12/14	27708.31	27813.82	27245.17	27563.64	0	0.00
2007/12/17	27236.45	27245.51	26551.37	26596.58	0	0.00
2007/12/18	26515.09	26912.29	26093.96	26732.87	0	0.00
2007/12/19	26880.09	27214.65	26670.85	27029.26	0	0.00
2007/12/20	27034.60	27203.89	26957.65	27017.09	0	0.00
2007/12/21	27192.80	27670.31	27192.80	27626.92	0	0.00
2007/12/24	27965.20	28191.30	27954.30	28128.80	0	0.00
2007/12/27	28337.47	28343.39	27842.93	27842.93	0	0.00
2007/12/28	27511.54	27678.40	27296.86	27370.60	0	0.00
2007/12/31	27437.90	27820.10	27437.90	27812.70	0	0.00
2008/01/02	27632.20	27853.60	27299.45	27560.52	0	0.00
2008/01/03	27050.03	27223.71	26864.13	26887.28	0	0.00
2008/01/04	27004.34	27596.86	26994.85	27519.69	0	0.00
2008/01/07	26962.54	27186.07	26698.54	27179.49	0	0.00
2008/01/08	27466.96	27637.60	27088.70	27112.90	0	0.00
2008/01/09	26847.49	27625.83	26757.03	27615.85	0	0.00
2008/01/10	27426.42	27596.50	27115.82	27230.86	0	0.00
2008/01/11	27435.51	27593.70	26725.95	26867.01	0	0.00
2008/01/14	27019.13	27142.88	26464.64	26468.13	0	0.00
