HZ5014 恒生国企指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/09/03	13958.67	14335.31	13958.67	14297.10	0	0.00
2007/09/04	14390.64	14574.73	14295.20	14338.88	0	0.00
2007/09/05	14519.56	14606.21	14122.55	14286.91	0	0.00
2007/09/06	14159.09	14446.65	14156.40	14423.13	0	0.00
2007/09/07	14448.75	14556.28	14288.84	14489.40	0	0.00
2007/09/10	14079.71	14487.34	14079.71	14410.94	0	0.00
2007/09/11	14476.78	14574.08	14202.23	14333.90	0	0.00
2007/09/12	14462.84	14513.49	14332.82	14450.48	0	0.00
2007/09/13	14429.70	14474.10	14216.72	14439.70	0	0.00
2007/09/14	14551.86	14771.07	14503.83	14707.90	0	0.00
2007/09/17	14801.00	14851.60	14651.07	14676.39	0	0.00
2007/09/18	14623.95	14746.90	14516.67	14733.62	0	0.00
2007/09/19	15242.95	15345.85	15141.60	15255.49	0	0.00
2007/09/20	15297.94	15586.28	15297.94	15552.23	0	0.00
2007/09/21	15568.94	15723.81	15475.18	15693.66	0	0.00
2007/09/24	15876.93	16442.94	15865.70	16406.04	0	0.00
2007/09/25	16235.31	16417.30	16103.78	16262.84	0	0.00
2007/09/27	16452.04	16740.03	16385.11	16644.49	0	0.00
2007/09/28	16750.85	17126.67	16588.22	17017.94	0	0.00
2007/10/02	17505.00	18161.40	17505.00	17973.87	0	0.00
2007/10/03	17961.29	18463.73	16990.14	17317.53	0	0.00
2007/10/04	16939.68	17200.92	16536.61	16727.05	0	0.00
2007/10/05	17134.32	17553.85	17027.26	17540.02	0	0.00
2007/10/08	18074.16	18192.51	17340.29	17511.82	0	0.00
2007/10/09	17456.99	17841.42	17155.53	17840.71	0	0.00
2007/10/10	18296.67	18366.59	17987.82	18285.92	0	0.00
2007/10/11	18458.71	19219.44	18429.03	19218.05	0	0.00
2007/10/12	18814.02	19245.84	18520.65	19081.30	0	0.00
2007/10/15	19338.50	19752.67	19151.06	19752.67	0	0.00
2007/10/16	19591.15	20226.96	19385.37	19441.33	0	0.00
2007/10/17	19094.97	19614.19	18996.90	19536.34	0	0.00
2007/10/18	20516.85	20516.85	19524.44	19722.38	0	0.00
2007/10/22	18666.95	19224.79	18644.61	18808.98	0	0.00
2007/10/23	19154.98	19641.86	19133.03	19636.46	0	0.00
2007/10/24	19980.74	20129.59	19483.09	19587.88	0	0.00
