00700 腾讯控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/09/03	5.904	5.934	5.524	5.584	27585	111354600.00
2007/09/04	5.784	5.824	5.564	5.584	21966	87626800.00
2007/09/05	5.724	6.244	5.704	6.154	31596	130115104.00
2007/09/06	5.844	6.054	5.764	5.824	20198	83331968.00
2007/09/07	5.834	5.874	5.654	5.864	25848	105892800.00
2007/09/10	5.324	5.694	5.324	5.644	25927	103731000.00
2007/09/11	5.544	5.604	5.424	5.484	14675	57919648.00
2007/09/12	5.624	5.704	5.414	5.424	25265	99992016.00
2007/09/13	5.424	5.524	5.424	5.524	25425	99706096.00
2007/09/14	5.524	6.054	5.524	5.834	43335	177306896.00
2007/09/17	6.224	6.224	5.844	5.944	37100	154592400.00
2007/09/18	5.924	6.134	5.754	6.114	22787	94022008.00
2007/09/19	6.534	6.624	6.144	6.484	54377	239712304.00
2007/09/20	6.584	7.154	6.544	6.954	59315	275718592.00
2007/09/21	7.104	7.224	6.524	6.624	19380	88892288.00
2007/09/24	7.024	7.194	6.834	6.874	22292	102850896.00
2007/09/25	6.984	7.124	6.664	6.724	30977	143196704.00
2007/09/27	6.724	7.584	6.694	7.524	67384	321852000.00
2007/09/28	7.544	7.724	7.414	7.664	55039	273113216.00
2007/10/02	7.864	8.014	6.994	7.404	52081	258466800.00
2007/10/03	7.544	7.644	6.724	6.804	62092	295771008.00
2007/10/04	6.804	6.824	6.394	6.554	62550	280537216.00
2007/10/05	6.824	6.824	6.504	6.764	38310	173707904.00
2007/10/08	6.824	7.354	6.734	6.864	38610	180462896.00
2007/10/09	7.024	7.754	6.744	7.574	84621	403394688.00
2007/10/10	7.824	9.104	7.824	9.014	158513	844853184.00
2007/10/11	8.824	8.874	8.484	8.714	57314	316371200.00
2007/10/12	8.544	8.564	8.084	8.224	66064	351243296.00
2007/10/15	8.624	8.724	8.404	8.614	59335	324523712.00
2007/10/16	8.794	9.664	8.794	9.384	107333	628745472.00
2007/10/17	9.524	9.524	8.934	9.244	78251	448337984.00
2007/10/18	9.304	9.334	8.824	9.174	37535	214697904.00
2007/10/22	8.574	8.924	8.574	8.634	60662	337836096.00
2007/10/23	8.824	9.224	8.804	9.024	26023	147766800.00
2007/10/24	9.224	9.544	8.924	9.044	28644	165971808.00
2007/10/25	9.464	9.524	8.954	9.474	31751	185485408.00
